"Player","Team","Position","Age","Status","1QB Rank","SF/TE Prem","1QB Pos Rk","SF/TE Pr Pos Rk","Notes","1QBAuction","2QBAuction"
"Jordan Addison","MIN","WR","24.5","Veteran","67","92","WR38","WR38","An arrest adds to difficulty to trust him long-term.","$12","$9"
"Lamar Jackson","BAL","QB","29.6","Veteran","68","6","QB04","QB04",,"$12","$42"
"Quinshon Judkins","CLE","RB","22.8","Veteran","69","93","RB21","RB21","Coming off major injury is a bit of a concern at this position.","$12","$9"
"Caleb Williams","CHI","QB","24.7","Veteran","70","7","QB05","QB05",,"$11","$41"
"Terry McLaurin","WFT","WR","30.9","Veteran","71","95","WR39","WR39",,"$11","$8"
"Davante Adams","LAR","WR","33.6","Veteran","72","96","WR40","WR40",,"$11","$8"
"DeZhaun Stribling","SF","WR","23.6","Rookie","73","97","WR41","WR41","Pick 33 felt like a massive reach in the draft, but still could be some long-term ceiling here.","$10","$8"
"Omar Cooper","NYJ","WR","22.7","Rookie","74","99","WR42","WR42","Explosive athlete, but a bit crowded right now. Jets have the resources to secure a long-term QB.","$10","$7"
"Jayden Higgins","HOU","WR","23.6","Veteran","75","100","WR43","WR43",,"$10","$7"
"Tucker Kraft","GB","TE","25.8","Veteran","76","73","TE06","TE06",,"$10","$11"
"Kyren Williams","LAR","RB","26.0","Veteran","77","102","RB22","RB22","Sounds as though this split will only get tighter.","$10","$7"
"Bhayshul Tuten","JAC","RB","23.5","Veteran","78","103","RB23","RB23",,"$10","$7"
"Josh Jacobs","GB","RB","28.5","Veteran","79","105","RB24","RB24","Potential league discipline a bit of a damper here.","$9","$7"
"Kyle Pitts","ATL","TE","25.8","Veteran","80","79","TE07","TE07","Legit contract extension should help him maintain his 2025 momentum.","$9","$10"
"Travis Hunter","JAC","WR","23.2","Veteran","81","107","WR44","WR44","Varying reports on usage, but no doubt he has to be better after recovering from injury.","$9","$6"
"Denzel Boston","CLE","WR","22.7","Rookie","82","108","WR45","WR45","Big-bodied target with great redzone ability.","$9","$6"
"Parker Washington","JAC","WR","24.4","Veteran","83","109","WR46","WR46",,"$9","$6"
"2028 1st Round Draft Pick","NFL","Pick",,"Pick","84","82","Pick02","Pick02",,"$9","$10"
"Wan'Dale Robinson","TEN","WR","25.6","Veteran","85","110","WR47","WR47","Expected to lead TEN in targets, but what will that be worth?","$9","$6"
"Sam LaPorta","DET","TE","25.6","Veteran","86","84","TE08","TE08",,"$8","$10"
"Jaxson Dart","NYG","QB","23.2","Veteran","87","17","QB06","QB06",,"$8","$31"
"Mike Evans","SF","WR","33.0","Veteran","88","114","WR48","WR48","Should be the clear top target in a Shanahan offense.","$8","$6"
"Quentin Johnston","LAC","WR","24.9","Veteran","89","115","WR49","WR49",,"$7","$5"
"Josh Downs","IND","WR","25.0","Veteran","90","117","WR50","WR50",,"$7","$5"
"Jayden Reed","GB","WR","26.3","Veteran","91","119","WR51","WR51","Extended for less than Wan'Dale money.","$7","$5"
"Joe Burrow","CIN","QB","29.7","Veteran","92","21","QB07","QB07",,"$7","$30"
"Elic Ayomanor","TEN","WR","23.2","Veteran","93","120","WR52","WR52",,"$7","$5"
"Kenyon Sadiq","NYJ","TE","21.4","Rookie","94","94","TE09","TE09","Played in-line under 30% of the time in 2025, likely more receiver than tight end.","$7","$8"
"Tre Harris","LAC","WR","24.4","Veteran","95","121","WR53","WR53",,"$7","$5"
"Blake Corum","LAR","RB","25.7","Veteran","96","123","RB25","RB25",,"$7","$5"
"Antonio Williams","WFT","WR","22.1","Rookie","97","124","WR54","WR54","Led Clemson in receiving as a true freshman. Figures to be a slot option for Washington.","$7","$5"
"Chris Godwin","TB","WR","30.5","Veteran","98","125","WR55","WR55",,"$6","$5"
"Kyle Williams","NE","WR","23.7","Veteran","99","126","WR56","WR56",,"$6","$5"
"Ricky Pearsall","SF","WR","25.9","Veteran","100","127","WR57","WR57","Injury issues seem to be serious.","$6","$5"
"Jaylin Noel","HOU","WR","23.9","Veteran","101","128","WR58","WR58",,"$6","$5"
"Chimere Dike","TEN","WR","23.7","Veteran","102","129","WR59","WR59",,"$6","$5"
"Justin Herbert","LAC","QB","28.4","Veteran","103","24","QB08","QB08",,"$6","$28"
"Isaiah Likely","NYG","TE","25.7","Veteran","104","98","TE10","TE10","Still very young -- the Wandale replacement?","$6","$7"
"Chris Bell","MIA","WR","22.2","Rookie","105","130","WR60","WR60","Likely won't do much as a rookie, but lands with a team who can afford to be patient.","$6","$4"
"Oronde Gadsden","LAC","TE","23.1","Veteran","106","101","TE11","TE11",,"$6","$7"
"Courtland Sutton","DEN","WR","30.8","Veteran","107","131","WR61","WR61",,"$6","$4"
"Romeo Doubs","NE","WR","26.3","Veteran","108","132","WR62","WR62","Should continue to be a secondary target now that NE has AJB.","$6","$4"
"Khalil Shakir","BUF","WR","26.5","Veteran","109","133","WR63","WR63",,"$6","$4"
"RJ Harvey","DEN","RB","25.5","Veteran","110","134","RB26","RB26","Seems unlikely he gets this backfield to himself.","$6","$4"
"Stefon Diggs","FA","WR","32.7","Veteran","111","135","WR64","WR64","Cut after a SB trip and now 32 years old.","$6","$4"
"Germie Bernard","PIT","WR","22.7","Rookie","112","136","WR65","WR65","Looks every bit the ""classic"" Day 2 Steelers WR.","$6","$4"
"D'Andre Swift","CHI","RB","27.6","Veteran","113","137","RB27","RB27",,"$6","$4"
"David Montgomery","HOU","RB","29.2","Veteran","114","139","RB28","RB28","Power complement to the pass-catching Marks.","$6","$4"
"Zachariah Branch","ATL","WR","22.4","Rookie","115","140","WR66","WR66","Screen merchant WR lands with a QB who hates to throw deep.","$6","$4"
"Kenny Gainwell","TB","RB","27.4","Veteran","116","141","RB29","RB29","Should be able to carve out a nice role in a multiple-RB offense.","$6","$4"
"Ted Hurst","TB","WR","22.1","Rookie","117","142","WR67","WR67","Could he be an immediate starter on the outside?","$5","$4"
"Keon Coleman","BUF","WR","23.2","Veteran","118","143","WR68","WR68",,"$5","$4"
"Jalen Hurts","PHI","QB","28.0","Veteran","119","26","QB09","QB09","Some real concerns his time in Philly may be coming to an end.","$5","$25"
"Malachi Fields","NYG","WR","24.1","Rookie","120","144","WR69","WR69","Power forward at WR, impressed at the Senior Bowl.","$5","$4"
"Jonathon Brooks","CAR","RB","23.1","Veteran","121","145","RB30","RB30","Has looked good in camp so far.","$5","$4"
"Jakobi Meyers","JAC","WR","29.8","Veteran","122","146","WR70","WR70",,"$5","$3"
"Eli Stowers","PHI","TE","23.3","Rookie","123","113","TE12","TE12","Impressive Combine even though he is probably is not a traditional TE. Long-term answer here.","$5","$6"
"Michael Pittman Jr.","PIT","WR","28.8","Veteran","124","150","WR71","WR71","Steelers need to greatly upgrade the QB position for his value to bounce back.","$4","$3"
"Jauan Jennings","MIN","WR","29.1","Veteran","125","151","WR72","WR72",,"$4","$3"
"Kyle Monangai","CHI","RB","24.4","Veteran","126","152","RB31","RB31",,"$4","$3"
"Rhamondre Stevenson","NE","RB","28.5","Veteran","127","154","RB32","RB32",,"$4","$3"
"Dalton Kincaid","BUF","TE","26.8","Veteran","128","116","TE13","TE13",,"$4","$5"
"Rashid Shaheed","SEA","WR","27.9","Veteran","129","156","WR73","WR73",,"$4","$3"
"Ja'Kobi Lane","BAL","WR","22.0","Rookie","130","158","WR74","WR74","Broke out within three years despite great competition.","$4","$3"
"Chuba Hubbard","CAR","RB","27.2","Veteran","131","157","RB33","RB33","Expecting a two-man backfield here with Brooks.","$4","$3"
"Jonah Coleman","DEN","RB","23.0","Rookie","132","159","RB34","RB34","Interesting option to add to this backfield. Could be the long-term Dobbins replacement.","$4","$3"
"Elijah Sarratt","BAL","WR","23.2","Rookie","133","160","WR75","WR75","15 TDs for the National Championship winners. Produced at three different levels.","$4","$3"
"Deebo Samuel","SF","WR","30.6","Veteran","134","162","WR76","WR76","Familiar name back in town!","$4","$3"
"Tony Pollard","TEN","RB","29.3","Veteran","135","160","RB35","RB35","Cut candidate.","$4","$3"
"Chris Brazzell","CAR","WR","22.8","Rookie","136","163","WR77","WR77","Missing his entire rookie season is a tough blow.","$4","$3"
"Jalen McMillan","TB","WR","24.7","Veteran","137","166","WR78","WR78",,"$4","$3"
"Jordan Mason","MIN","RB","27.2","Veteran","138","163","RB36","RB36","Jones paycut may portend a larger workload here.","$4","$3"
"Skyler Bell","BUF","WR","24.1","Rookie","139","167","WR79","WR79","Elite agility testing at his pro day.","$4","$3"
"Rachaad White","WFT","RB","27.6","Veteran","140","165","RB37","RB37",,"$4","$3"
"Adonai Mitchell","NYJ","WR","23.8","Veteran","141","168","WR80","WR80",,"$4","$3"
"Eli Raridon","NE","TE","22.5","Rookie","142","122","TE14","TE14","Tremendous athlete winds up with a top young QB and aging veteran in front of him.","$4","$5"
"Bo Nix","DEN","QB","26.5","Veteran","143","33","QB10","QB10",,"$4","$21"
"Tyler Allgeier","ARI","RB","26.3","Veteran","144","170","RB38","RB38","Poor guy can't avoid T10 RBs.","$4","$3"
"Caleb Douglas","MIA","WR","22.9","Rookie","145","171","WR81","WR81","Opportunity abounds.","$4","$2"
"Jalen Coker","CAR","WR","24.8","Veteran","146","172","WR82","WR82","Extension is fairly cheap, but should keep him around.","$4","$2"
"Kayshon Boutte","NE","WR","24.3","Veteran","147","173","WR83","WR83",,"$3","$2"
"Troy Franklin","DEN","WR","23.5","Veteran","148","174","WR84","WR84",,"$3","$2"
"Patrick Mahomes","KC","QB","30.9","Veteran","149","35","QB11","QB11","ACL recovery appears to be going well.","$3","$20"
"Brenton Strange","JAC","TE","25.6","Veteran","150","137","TE15","TE15","Was surprised by how much money he got. Should keep him in a pass-catching role.","$3","$4"
"Brock Purdy","SF","QB","26.6","Veteran","151","36","QB12","QB12",,"$3","$19"
"Jalen Nailor","LV","WR","27.4","Veteran","152","180","WR85","WR85",,"$3","$2"
"Trevor Lawrence","JAC","QB","26.8","Veteran","153","38","QB13","QB13",,"$3","$19"
"Keaton Mitchell","LAC","RB","24.6","Veteran","154","181","RB39","RB39",,"$3","$2"
"Fernando Mendoza","LV","QB","22.9","Rookie","155","42","QB14","QB14","Premium setup with Klint Kubiak, Brock Bowers, and Ashton Jeanty, but may not play much as a rookie.","$3","$19"
"Jaylen Warren","PIT","RB","27.8","Veteran","156","183","RB40","RB40",,"$3","$2"
"Dak Prescott","DAL","QB","33.0","Veteran","157","44","QB15","QB15",,"$3","$18"
"Tre Tucker","LV","WR","25.4","Veteran","158","184","WR86","WR86",,"$3","$2"
"Pat Bryant","DEN","WR","23.7","Veteran","159","185","WR87","WR87",,"$3","$2"
"Zach Charbonnet","SEA","RB","25.6","Veteran","160","185","RB41","RB41","Late-season ACL isn't ideal. May end up in the same situation he was in with Walker.","$3","$2"
"Christopher Rodriguez Jr.","JAC","RB","26.9","Veteran","161","188","RB42","RB42","No additional competition brought in through the draft.","$3","$2"
"Rico Dowdle","PIT","RB","28.6","Veteran","162","189","RB43","RB43","Crowded backfield to try and work into.","$3","$2"
"Isaac TeSlaa","DET","WR","24.5","Veteran","163","192","WR88","WR88",,"$3","$2"
"J.K. Dobbins","DEN","RB","27.6","Veteran","164","190","RB44","RB44","Will the healthy workload split shift more to Harvey this year?","$3","$2"
"Brian Robinson Jr.","ATL","RB","27.4","Veteran","165","191","RB45","RB45","Pretty similar-style player to Allgeier, definitely a chance for production.","$3","$2"
"Woody Marks","HOU","RB","25.6","Veteran","166","192","RB46","RB46",,"$3","$2"
"Nick Singleton","TEN","RB","22.6","Rookie","167","195","RB47","RB47","Pollard is a cut candidate, making this raw talent intriguing.","$3","$2"
"Dylan Sampson","CLE","RB","21.9","Veteran","168","196","RB48","RB48",,"$3","$2"
"Mike Washington","LV","RB","23.1","Rookie","169","199","RB49","RB49","Fantastic size/speed prospect, but clearly blocked by Jeanty.","$3","$2"
"Jordan Love","GB","QB","27.8","Veteran","170","47","QB16","QB16",,"$3","$18"
"2027 2nd Round Draft Pick","NFL","Pick",,"Pick","171","147","Pick03","Pick03",,"$2","$3"
"Max Klare","LAR","TE","23.1","Rookie","172","147","TE16","TE16",,"$2","$3"
"Oscar Delp","NO","TE","23.1","Rookie","173","149","TE17","TE17","Sub 4.5 at his pro day. Joins a TE room mostly full of vets.","$2","$3"
"Tyreek Hill","FA","WR","32.4","Veteran","174","208","WR89","WR89","Reports have his knee issues still ongoing.","$2","$2"
"Jaydon Blue","DAL","RB","22.6","Veteran","175","209","RB50","RB50",,"$2","$1"
"Jake Ferguson","DAL","TE","27.6","Veteran","176","153","TE18","TE18",,"$2","$3"
"Kyler Murray","MIN","QB","29.0","Veteran","177","50","QB17","QB17","Ideal landing spot with a top offensive mind and elite WR.","$2","$16"
"Kaytron Allen","WFT","RB","23.6","Rookie","178","210","RB51","RB51","Not a supreme physical specimen, but does the things coaches like that can get him on the field.","$2","$1"
"Jacory Croskey-Merritt","WFT","RB","25.3","Veteran","179","211","RB52","RB52",,"$2","$1"
"Kaelon Black","SF","RB","24.8","Rookie","180","213","RB53","RB53","Monster reach by SF, but we have to pay attention to anyone who lands here.","$2","$1"
"Emmett Johnson","KC","RB","22.8","Rookie","181","214","RB54","RB54","Could wind up being a Charbonnet-lite for Walker if he proves himself.","$2","$1"
"Aaron Jones","MIN","RB","31.7","Veteran","182","215","RB55","RB55","Claiborne addition more likely to cut into Jones than Mason.","$2","$1"
"Tyjae Spears","TEN","RB","25.2","Veteran","183","216","RB56","RB56","Pass-catching role could be in danger with Singleton added.","$2","$1"
"Sam Darnold","SEA","QB","29.2","Veteran","184","51","QB18","QB18","Super Bowl victory enhances job security.","$2","$16"
"Adam Randall","BAL","RB","22.1","Rookie","185","220","RB57","RB57","Freaky athlete at 232 pounds.","$2","$1"
"Isaiah Bond","CLE","WR","22.4","Veteran","186","224","WR90","WR90",,"$2","$1"
"Demond Claiborne","MIN","RB","22.8","Rookie","187","224","RB58","RB58","On the smaller side, but ran well and has a strong pass-catching background.","$2","$1"
"Tyler Shough","NO","QB","26.9","Veteran","188","55","QB19","QB19",,"$2","$16"
"Tyrone Tracy Jr.","NYG","RB","26.7","Veteran","189","227","RB59","RB59",,"$2","$1"
"Calvin Ridley","TEN","WR","31.6","Veteran","190","229","WR91","WR91",,"$2","$1"
"Terrance Ferguson","LAR","TE","23.5","Veteran","191","169","TE19","TE19",,"$2","$3"
"2028 2nd Round Draft Pick","NFL","Pick",,"Pick","192","176","Pick04","Pick04",,"$2","$2"
"Alvin Kamara","NO","RB","31.0","Veteran","193","233","RB60","RB60",,"$1","$1"
"Eli Heidenreich","PIT","RB","23.0","Rookie","194","234","RB61","RB61","High-upside athlete in a fairly unsettled backfield.","$1","$1"
"Chigoziem Okonkwo","WFT","TE","26.9","Veteran","195","177","TE20","TE20",,"$1","$2"
"Sean Tucker","TB","RB","24.8","Veteran","196","239","RB62","RB62",,"$1","$1"
"Jordan James","SF","RB","22.4","Veteran","197","241","RB63","RB63",,"$1","$1"
"C.J. Stroud","HOU","QB","24.8","Veteran","198","68","QB20","QB20","Entering a make-or-break year.","$1","$14"
"George Kittle","SF","TE","32.8","Veteran","199","182","TE21","TE21","Achilles injury this late in the season may impact 2026 effectiveness even if he is able to return on time for Week 1.","$1","$2"
"Jaylen Wright","MIA","RB","23.4","Veteran","200","245","RB64","RB64",,"$1","$1"
"Tank Bigsby","PHI","RB","24.9","Veteran","201","246","RB65","RB65",,"$1","$1"
"Jarquez Hunter","LAR","RB","23.6","Veteran","202","248","RB66","RB66",,"$1","$1"
"Dallas Goedert","PHI","TE","31.6","Veteran","203","187","TE22","TE22",,"$1","$2"
"Mark Andrews","BAL","TE","30.9","Veteran","204","192","TE23","TE23",,"$1","$2"
"Hunter Henry","NE","TE","31.7","Veteran","205","198","TE24","TE24",,"$1","$2"
"Zavion Thomas","CHI","WR","21.9","Rookie","206","254","WR92","WR92","Likely overdrafted for his special teams ability, but is blazing fast and could earn WR (and possibly RB?) reps long-term.","$1","$1"
"Marshawn Lloyd","GB","RB","25.6","Veteran","207","252","RB67","RB67","Will he ever stay healthy?","$1","$1"
"T.J. Hockenson","MIN","TE","29.1","Veteran","208","200","TE25","TE25",,"$1","$2"
"Bryce Lance","NO","WR","24.9","Rookie","209","255","WR93","WR93","Older prospect from a smaller school, but shredded the Combine. Hopefully the long-term WR3.","$1","$1"
"Tory Horton","SEA","WR","23.7","Veteran","210","256","WR94","WR94","Injury has a chance to linger into 2026.","$1","$1"
"Cade Otton","TB","TE","27.3","Veteran","211","201","TE26","TE26",,"$1","$2"
"Travis Kelce","KC","TE","36.9","Veteran","212","202","TE27","TE27","One last ride?","$1","$2"
"Xavier Legette","CAR","WR","25.5","Veteran","213","257","WR95","WR95",,"$1","$1"
"Elijah Arroyo","SEA","TE","23.3","Veteran","214","203","TE28","TE28",,"$1","$2"
"Gunnar Helm","TEN","TE","23.9","Veteran","215","204","TE29","TE29","Flashed as a rookie, now no Chig.","$1","$2"
"Mason Taylor","NYJ","TE","22.3","Veteran","216","205","TE30","TE30","Expect him to still be the traditional ""Y"" in New York, but not great for fantasy.","$1","$2"
"Keenan Allen","FA","WR","34.3","Veteran","217","259","WR96","WR96",,"$1","$1"
"Nathaniel Dell","HOU","WR","26.8","Veteran","218","260","WR97","WR97",,"$1","$1"
"AJ Barner","SEA","TE","24.3","Veteran","219","206","TE31","TE31",,"$1","$2"
"Juwan Johnson","NO","TE","29.9","Veteran","220","207","TE32","TE32","Some competition added here despite a good season.","$1","$2"
"Jerry Jeudy","CLE","WR","27.3","Veteran","221","261","WR98","WR98",,"$1","$1"
"Marquise Brown","PHI","WR","29.2","Veteran","222","263","WR99","WR99","Interesting landing spot if the Eagles end up trading AJ Brown.","$1","$1"
"Ray Davis","BUF","RB","26.7","Veteran","223","262","RB68","RB68",,"$1","$1"
"2027 3rd Round Draft Pick","NFL","Pick",,"Pick","224","220","Pick05","Pick05",,"$1","$1"
"Dontayvion Wicks","PHI","WR","25.1","Veteran","225","265","WR100","WR100",,"$1","$1"
"James Conner","ARI","RB","31.3","Veteran","226","264","RB69","RB69",,"$1","$1"
"Cam Ward","TEN","QB","24.2","Veteran","227","70","QB21","QB21","Daboll should be a positive for development.","$1","$12"
"Jared Goff","DET","QB","31.8","Veteran","228","71","QB22","QB22",,"$1","$12"
"Brenen Thompson","LAC","WR","23.0","Rookie","229","268","WR101","WR101",,"$1","$1"
"Malik Benson","LV","WR","23.8","Rookie","230","269","WR102","WR102",,"$1","$1"
"Pat Freiermuth","PIT","TE","27.8","Veteran","231","218","TE33","TE33",,"$1","$1"
"Darnell Washington","PIT","TE","25.0","Veteran","232","222","TE34","TE34",,"$1","$1"
"Matthew Hibner","BAL","TE","24.4","Rookie","233","223","TE35","TE35",,"$1","$1"
"Kaleb Johnson","PIT","RB","23.0","Veteran","234","270","RB70","RB70","Seems pretty cooked after disaster rookie year and a FA addition to the backfield.","$1","$1"
"Jack Bech","LV","WR","23.6","Veteran","235","273","WR103","WR103",,"$1","$1"
"Isiah Pacheco","DET","RB","27.4","Veteran","236","272","RB71","RB71",,"$1","$1"
"Trevor Etienne","CAR","RB","22.1","Veteran","237","274","RB72","RB72",,"$1","$1"
"Samaje Perine","CIN","RB","30.9","Veteran","238","275","RB73","RB73","Carved out a legit role in 2025.","$1","$1"
"Kimani Vidal","LAC","RB","24.9","Veteran","239","276","RB74","RB74",,"$1","$0"
"Braelon Allen","NYJ","RB","22.6","Veteran","240","277","RB75","RB75","Could get a chance to reclaim some touches.","$1","$0"
"DJ Giddens","IND","RB","23.0","Veteran","241","278","RB76","RB76",,"$1","$0"
"Greg Dulcich","MIA","TE","26.4","Veteran","242","229","TE36","TE36",,"$1","$1"
"Charlie Kolar","LAC","TE","27.5","Veteran","243","231","TE37","TE37",,"$1","$1"
"Colby Parkinson","LAR","TE","27.6","Veteran","244","232","TE38","TE38",,"$1","$1"
"Devin Neal","NO","RB","23.0","Veteran","245","281","RB77","RB77",,"$1","$0"
"Justice Hill","BAL","RB","28.7","Veteran","246","282","RB78","RB78",,"$1","$0"
