QUARTERBACK,,,,,RUNNING BACK,,,,,WIDE RECEIVER,,,,,TIGHT END,,,
Rank,Player,ADP,Market Score,,Rank,Player,ADP,Market Score,,Rank,Player,ADP,Market Score,,Rank,Player,ADP,Market Score
24,Jordan Love,127,10.0,,24,Jaylen Warren,66,36.5,,24,Carnell Tate,62,44.7,,24,TJ Hockenson,157,1.3
25,Matthew Stafford,102,9.4,,25,David Montgomery,50,35.6,,25,Jordyn Tyson,71,43.4,,,,,
26,Bryce Young,173,8.5,,26,Bhayshul Tuten,58,31.5,,26,DJ Moore,56,42.9,,,,,
27,Sam Darnold,148,3.1,,27,RJ Harvey,65,29.7,,27,Davante Adams,49,40.7,,,,,
,,,,,28,Rhamondre Stevenson,75,28.0,,28,Terry McLaurin,52,40.4,,,,,
,,,,,29,Chuba Hubbard,69,27.6,,29,Rome Odunze,61,39.8,,,,,
,,,,,30,Jadarian Price,73,22.9,,30,Courtland Sutton,74,37.0,,,,,
,,,,,31,Rico Dowdle,83,22.4,,31,Michael Wilson,78,36.7,,,,,
,,,,,32,Tony Pollard,81,21.9,,32,Brian Thomas,67,36.4,,,,,
,,,,,33,Kyle Monangai,87,15.0,,33,Wan'Dale Robinson,98,36.3,,,,,
,,,,,34,Blake Corum,95,13.7,,34,DK Metcalf,70,35.4,,,,,
,,,,,35,Aaron Jones,112,10.5,,35,Christian Watson,63,35.0,,,,,
,,,,,36,Rachaad White,114,10.2,,36,Alec Pierce,79,34.8,,,,,
,,,,,37,Kenny Gainwell,96,9.4,,37,Makai Lemon,82,30.6,,,,,
,,,,,38,JK Dobbins,97,8.1,,38,Parker Washington,85,28.9,,,,,
,,,,,39,Jordan Mason,116,6.1,,39,Marvin Harrison,72,28.5,,,,,
,,,,,40,Jacory Croskey-Merritt,119,0.0,,40,Jakobi Meyers,91,28.1,,,,,
,,,,,,,,,,41,Mike Evans,59,26.7,,,,,
,,,,,,,,,,42,Michael Pittman,99,22.8,,,,,
,,,,,,,,,,43,Romeo Doubs,110,22.2,,,,,
,,,,,,,,,,44,Jordan Addison,100,21.8,,,,,
,,,,,,,,,,45,Quentin Johnston,103,21.1,,,,,
,,,,,,,,,,46,Ricky Pearsall,94,18.2,,,,,
,,,,,,,,,,47,Jayden Reed,105,17.8,,,,,
,,,,,,,,,,48,KC Concepcion,120,17.2,,,,,
,,,,,,,,,,49,Chris Godwin,93,15.8,,,,,
,,,,,,,,,,50,Xavier Worthy,117,15.2,,,,,
,,,,,,,,,,51,Josh Downs,113,11.9,,,,,
