Rank,Player,Team,Position,Age,Exp,Value,Pos Rank
116,"Matthew Golden",GB,WR,23.0,1,656,WR48
117,"Quentin Johnston",LAC,WR,24.9,3,641,WR49
118,"Josh Downs",IND,WR,25.0,3,626,WR50
119,"Jonah Coleman",DEN,RB,23.0,R,611,RB29
120,"Jake Ferguson",DAL,TE,27.5,4,597,TE13
121,"Jonathon Brooks",CAR,RB,23.0,2,583,RB30
122,"Chris Godwin",TB,WR,30.4,9,570,WR51
123,"Germie Bernard",PIT,WR,22.7,R,556,WR52
124,"De'Zhaun Stribling",SF,WR,23.6,R,544,WR53
125,"Antonio Williams",WAS,WR,22.1,R,531,WR54
126,"Xavier Worthy",KC,WR,23.3,2,519,WR55
127,"Rico Dowdle",PIT,RB,28.1,6,507,RB31
128,"Jakobi Meyers",JAX,WR,29.7,7,495,WR56
129,"Chris Bell",MIA,WR,22.2,R,483,WR57
130,"Isaiah Likely",NYG,TE,26.3,4,472,TE14
131,"Mike Evans",SF,WR,33.0,12,461,WR58
132,"Courtland Sutton",DEN,WR,30.8,8,450,WR59
133,"Jaylen Warren",PIT,RB,27.8,4,440,RB32
134,"Travis Hunter",JAX,WR,23.2,1,430,WR60
135,"J.K. Dobbins",DEN,RB,27.6,6,420,RB33
136,"Khalil Shakir",BUF,WR,26.5,4,410,WR61
137,"Ted Hurst",TB,WR,22.1,R,400,WR62
138,"Zach Charbonnet",SEA,RB,25.6,3,391,RB34
139,"Mark Andrews",BAL,TE,30.9,8,382,TE15
140,"Michael Penix",ATL,QB,26.2,2,373,QB29
141,"Rhamondre Stevenson",NE,RB,28.4,5,365,RB35
142,"Malachi Fields",NYG,WR,22.9,R,356,WR63
143,"Blake Corum",LAR,RB,25.7,2,348,RB36
144,"Tua Tagovailoa",ATL,QB,28.4,6,340,QB30
145,"Chuba Hubbard",CAR,RB,27.1,5,332,RB37
146,"Chris Brazzell",CAR,WR,22.9,R,324,WR64
147,"J.J. McCarthy",MIN,QB,23.5,2,317,QB31
148,"George Kittle",SF,TE,32.8,9,309,TE16
149,"Tyjae Spears",TEN,RB,25.1,3,302,RB38
150,"Jauan Jennings",MIN,WR,29.1,6,295,WR65
151,"Nicholas Singleton",TEN,RB,22.6,R,288,RB39
152,"Tony Pollard",TEN,RB,29.3,7,282,RB40
153,"Rashid Shaheed",SEA,WR,27.9,4,275,WR66
154,"Woody Marks",HOU,RB,25.6,1,269,RB41
155,"Shedeur Sanders",CLE,QB,24.5,1,262,QB32
156,"Tyler Allgeier",ARI,RB,26.3,4,256,RB42
157,"T.J. Hockenson",MIN,TE,29.1,7,250,TE17
158,"Tyrone Tracy",NYG,RB,26.7,2,244,RB43
159,"Jacory Croskey-Merritt",WAS,RB,25.3,1,239,RB44
160,"Jerry Jeudy",CLE,WR,27.3,6,233,WR67
161,"Jalen Coker",CAR,WR,24.8,2,228,WR68
162,"Kenneth Gainwell",TB,RB,27.4,5,223,RB45
163,"Dallas Goedert",PHI,TE,31.6,8,217,TE18
164,"Rachaad White",WAS,RB,27.6,4,212,RB46
165,"Jack Bech",LV,WR,23.6,1,207,WR69
166,"Jordan Mason",MIN,RB,27.2,4,203,RB47
167,"Emmett Johnson",KC,RB,22.8,R,198,RB48
168,"Kaleb Johnson",PIT,RB,23.0,1,193,RB49
169,"Mike Washington",LV,RB,23.1,R,189,RB50
170,"Elic Ayomanor",TEN,WR,23.1,1,180,WR70
171,"Brenton Strange",JAX,TE,25.6,3,176,TE19
172,"Skyler Bell",BUF,WR,24.1,R,172,WR71
173,"Jacoby Brissett",ARI,QB,33.6,10,168,QB33
174,"Chris Rodriguez",JAX,RB,26.9,3,164,RB51
175,"Kaytron Allen",WAS,RB,23.6,R,160,RB52
176,"Adonai Mitchell",NYJ,WR,23.8,2,156,WR72
177,"Dylan Sampson",CLE,RB,21.9,1,153,RB53
178,"Elijah Sarratt",BAL,WR,23.2,R,149,WR73
179,"Tyren Montgomery",TEN,WR,,R,146,WR74
180,"Deebo Samuel",WAS,WR,30.6,7,142,WR75
181,"Isaac TeSlaa",DET,WR,24.5,1,139,WR76
182,"Mason Taylor",NYJ,TE,22.2,1,136,TE20
183,"Carson Beck",ARI,QB,23.7,R,133,QB34
184,"Demond Claiborne",MIN,RB,22.8,R,130,RB54
185,"Chigoziem Okonkwo",TEN,TE,26.9,4,127,TE21
186,"Braelon Allen",NYJ,RB,22.5,2,124,RB55
187,"Zachariah Branch",ATL,WR,22.3,R,121,WR77
188,"Ja'Kobi Lane",BAL,WR,22.0,R,118,WR78
189,"Terrance Ferguson",LAR,TE,23.4,1,115,TE22
190,"Jaylin Noel",HOU,WR,23.9,1,110,WR79
191,"Tre Harris",LAC,WR,24.4,1,107,WR80
192,"Stefon Diggs",NE,WR,32.7,11,105,WR81
193,"Kayshon Boutte",NE,WR,24.2,3,100,WR82
194,"Troy Franklin",DEN,WR,23.5,2,98,WR83
195,"Isiah Pacheco",DET,RB,27.4,4,96,RB56
196,"Max Klare",LAR,TE,23.1,R,93,TE23
197,"Travis Kelce",KC,TE,36.8,13,91,TE24
198,"Aaron Jones",MIN,RB,31.7,9,89,RB57
199,"Keon Coleman",BUF,WR,23.2,2,87,WR84
200,"Jalen Nailor",LV,WR,27.4,4,85,WR85
201,"Mac Jones",SF,QB,27.9,5,83,QB35
202,"Tory Horton",SEA,WR,23.7,1,81,WR86
203,"Geno Smith",NYJ,QB,35.8,13,79,QB36
204,"AJ Barner",SEA,TE,24.3,2,77,TE25
205,"Kaelon Black",SF,RB,24.8,R,76,RB58
206,"Gunnar Helm",TEN,TE,23.9,1,74,TE26
207,"Jalen McMillan",TB,WR,24.7,2,72,WR87
208,"Deshaun Watson",CLE,QB,30.9,9,70,QB37
209,"David Njoku",LAC,TE,30.1,9,69,TE27
210,"Hunter Henry",NE,TE,31.7,10,67,TE28
211,"Brian Robinson",ATL,RB,27.4,4,66,RB59
212,"Kyle Williams",NE,WR,23.7,1,64,WR88
213,"Oscar Delp",NO,TE,23.0,R,63,TE29
214,"Jaylen Wright",MIA,RB,23.3,2,61,RB60
215,"Pat Bryant",DEN,WR,23.6,1,60,WR89
216,"Juwan Johnson",NO,TE,29.9,6,58,TE30
217,"Eli Raridon",NE,TE,22.5,R,57,TE31
218,"Tre Tucker",LV,WR,25.4,3,56,WR90
219,"Alvin Kamara",NO,RB,31.0,9,54,RB61
220,"Caleb Douglas",MIA,WR,22.9,R,53,WR91
221,"Chimere Dike",TEN,WR,23.6,1,52,WR92
222,"Brandon Aiyuk",SF,WR,28.4,6,51,WR93
223,"Tyreek Hill",MIA,WR,32.4,10,49,WR94
224,"Kirk Cousins",LV,QB,38.0,14,48,QB38
225,"Trey Benson",ARI,RB,24.0,2,47,RB62
226,"Aaron Rodgers",PIT,QB,42.7,21,45,QB39
227,"Kimani Vidal",LAC,RB,24.9,2,44,RB63
228,"Xavier Legette",CAR,WR,25.5,2,43,WR95
229,"Tank Bigsby",PHI,RB,24.9,3,42,RB64
230,"Drew Allar",PIT,QB,22.4,R,41,QB40
231,"Brashard Smith",KC,RB,23.3,1,40,RB65
232,"Bryce Lance",NO,WR,24.0,R,39,WR96
233,"Marvin Mims",DEN,WR,24.4,3,38,WR97
234,"Keaton Mitchell",LAC,RB,24.5,3,37,RB66
235,"Justin Joly",DEN,TE,22.1,R,36,TE32
236,"Malik Washington",MIA,WR,25.6,2,36,WR98
237,"Devin Neal",NO,RB,23.0,1,35,RB67
238,"Adam Randall",BAL,RB,22.1,R,34,RB68
239,"Tank Dell",HOU,WR,26.8,3,33,WR99
240,"Brenen Thompson",LAC,WR,23.0,R,32,WR100
241,"Dalton Schultz",HOU,TE,30.1,8,32,TE33
242,"LeQuint Allen",JAX,RB,22.0,1,31,RB69
243,"Justin Fields",KC,QB,27.4,5,30,QB41
244,"Ollie Gordon",MIA,RB,22.6,1,29,RB70
245,"Cade Otton",TB,TE,27.3,4,29,TE34
246,"Dae'Quan Wright",PHI,TE,22.9,R,28,TE35
247,"Anthony Richardson",IND,QB,24.2,3,27,QB42
248,"Jaydon Blue",DAL,RB,22.6,1,27,RB71
249,"Darnell Mooney",NYG,WR,28.8,6,26,WR101
250,"Jalen Royals",KC,WR,23.5,1,26,WR102
251,"Theo Johnson",NYG,TE,25.4,2,25,TE36
252,"Elijah Arroyo",SEA,TE,23.3,1,24,TE37
253,"Kevin Coleman",MIA,WR,22.9,R,24,WR103
254,"Christian Kirk",SF,WR,29.7,8,23,WR104
255,"Tez Johnson",TB,WR,24.2,1,23,WR105
256,"Pat Freiermuth",PIT,TE,27.8,5,22,TE38
257,"Emanuel Wilson",SEA,RB,27.2,3,22,RB72
258,"Dontayvion Wicks",PHI,WR,25.1,3,21,WR106
259,"Isaiah Bond",CLE,WR,22.4,1,21,WR107
260,"Dont'e Thornton",LV,WR,23.7,1,20,WR108
261,"James Conner",ARI,RB,31.2,9,20,RB73
262,"Jordan James",SF,RB,22.3,1,19,RB74
263,"Cedric Tillman",CLE,WR,26.3,3,19,WR109
264,"Jalen Milroe",SEA,QB,23.6,1,18,QB43
265,"Ryan Flournoy",DAL,WR,26.8,2,18,WR110
266,"DJ Giddens",IND,RB,22.9,1,18,RB75
267,"Seth McGowan",IND,RB,24.8,R,17,RB76
268,"Evan Engram",DEN,TE,31.9,9,17,TE39
269,"Ray Davis",BUF,RB,26.7,2,16,RB77
270,"Cooper Kupp",SEA,WR,33.1,9,16,WR111
271,"Sean Tucker",TB,RB,24.8,3,16,RB78
272,"Cade Klubnik",NYJ,QB,22.8,R,15,QB44
273,"Calvin Ridley",TEN,WR,31.6,8,15,WR112
274,"Rashod Bateman",BAL,WR,26.7,5,15,WR113
275,"Kendre Miller",NO,RB,24.1,3,14,RB79
276,"Michael Mayer",LV,TE,25.1,3,14,TE40
277,"Will Howard",PIT,QB,24.9,1,14,QB45
278,"Colby Parkinson",LAR,TE,27.6,6,13,TE41
279,"Greg Dulcich",MIA,TE,26.4,4,13,TE42
280,"Demario Douglas",NE,WR,25.7,3,13,WR114
281,"Dare Ogunbowale",HOU,RB,32.3,9,12,RB80
282,"MarShawn Lloyd",GB,RB,25.6,2,12,RB81
283,"Dillon Gabriel",CLE,QB,25.6,1,12,QB46
284,"Quinn Ewers",MIA,QB,23.4,1,12,QB47
285,"Garrett Nussmeier",KC,QB,24.5,R,11,QB48
286,"Isaiah Davis",NYJ,RB,24.4,2,11,RB82
287,"Calvin Austin",NYG,WR,27.4,4,11,WR115
288,"Tyquan Thornton",KC,WR,26.0,4,10,WR116
289,"Jarquez Hunter",LAR,RB,23.6,1,10,RB83
290,"Trevor Etienne",CAR,RB,22.1,1,10,RB84
291,"Ja'Tavion Sanders",CAR,TE,23.4,2,10,TE43
292,"Joshua Palmer",BUF,WR,26.9,5,10,WR117
293,"Spencer Rattler",NO,QB,25.8,2,9,QB49
294,"Roschon Johnson",CHI,RB,25.5,3,9,RB85
295,"Isaac Guerendo",SF,RB,26.1,2,,RB86
296,"Ben Sinnott",WAS,TE,24.1,2,,TE44
297,"Keenan Allen",LAC,WR,34.3,13,,WR118
298,"George Holani",SEA,RB,26.6,2,,RB87
299,"Riley Leonard",IND,QB,23.9,1,,QB50
300,"Devaughn Vele",NO,WR,28.6,2,,WR119
